,date,foodcourt,restaurant,restaurantmenuitem,actual,forecast_xgb_norm,r2,mape,model,accuracy_xgb_norm
128,2024-02-14,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,5.0,8.0,0.7485029940119761,0.31651205936920224,xgboost-norm,0.6834879406307978
129,2024-02-15,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,11.0,8.0,0.7485029940119761,0.31651205936920224,xgboost-norm,0.6834879406307978
130,2024-02-16,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,5.0,4.0,0.7485029940119761,0.31651205936920224,xgboost-norm,0.6834879406307978
131,2024-02-17,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,0.0,0.0,0.7485029940119761,0.31651205936920224,xgboost-norm,0.6834879406307978
132,2024-02-18,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c79,0.0,0.0,0.7485029940119761,0.31651205936920224,xgboost-norm,0.6834879406307978
133,2024-02-12,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,5.0,0.0,0.14516129032258063,0.46031746031746035,xgboost-norm,0.5396825396825397
134,2024-02-13,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,3.0,2.0,0.14516129032258063,0.46031746031746035,xgboost-norm,0.5396825396825397
135,2024-02-14,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,1.0,2.0,0.14516129032258063,0.46031746031746035,xgboost-norm,0.5396825396825397
136,2024-02-15,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,3.0,2.0,0.14516129032258063,0.46031746031746035,xgboost-norm,0.5396825396825397
137,2024-02-16,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,9.0,4.0,0.14516129032258063,0.46031746031746035,xgboost-norm,0.5396825396825397
138,2024-02-17,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,0.0,0.0,0.14516129032258063,0.46031746031746035,xgboost-norm,0.5396825396825397
139,2024-02-18,5e454d189475ce03ce996662,5e463f6d84990c02f058a44c,65698f61e1523400118e6c88,0.0,0.0,0.14516129032258063,0.46031746031746035,xgboost-norm,0.5396825396825397
140,2024-02-12,5e454d189475ce03ce996662,634ceb56ac2f504b6499bb57,658d255a09d576001b36b62e,1.0,2.0,0.9012096774193549,0.2369047619047619,xgboost-norm,0.763095238095238
